C02082_2,C02231_4,C02297_0,C02359_4,C02431_1,C02540_0,C02580_3,C02638_4,C02784_9,C02870_8,C02939_5,C03043_4,C03086_6,C03156_9,C03281_5,C03372_2,C03378_1,C03445_2,C03487_0,C03557_5,C03589_8,C03689_1,C03774_3,C03817_6,C03844_1,C03952_4,C03968_2,C04016_2,C04133_5,C04152_6,C04168_2,C04352_5,C04369_7,C04469_5,C04624_1,C04675_6,C04788_3,C04803_7,C04841_5,C05104_1,C05131_3,C05153_2,C05248_6,C05359_0,C05413_6,C05538_8,C05756_7,C05823_8,C05939_5,C06123_3,C06336_7,C06439_7,C06549_3,C06644_2,C06942_9,C07137_6,C07279_6,C07470_5,C07552_2,C07677_8,C07927_0,C08042_6,C08153_8,C08233_6,C08369_0,C08706_9,C08835_1,C09069_8,C09751_4,C09930_6,C010051_,C010193_,C010429_,C010567_,C010823_,C011016_,C011202_,C011411_,C011550_,C011999_,C012305_,C012684_,C012873_,C013277_,C013470_,C013714_,C013864_,C014014_,C014322_,C015109_,C015312_,C015502_,C015849_,C015996_,C016461_,C016703_,C017233_,C017393_,C018651_,C019910_,C021143_,C021688_,C022331_,C024040_,C024873_,C025923_,C026400_,C026733_,C028065_,C029237_,C031018_,C031804_,C032036_,C033405_
0.223495664,0.147692665,0.075006055,0.248450633,0.373952498,1.48E-04,0.31203768,0.22700942,0.909123083,0.398713534,0.491023386,1.014843942,0.58016997,0.24019206,0.232570306,0.983407798,0.509915197,0.926847174,0.641903456,0.15219762,0.083760971,0.217486272,0.129991162,1.003317638,0.176804029,0.601549839,0.28691774,0.953688424,0.633113041,0.629093601,0.712174172,0.684964429,0.540262362,0.23025943,0.039920582,0.011441524,0.132820268,0.276966351,0.23830646,0.555231252,0.234972051,0.807637546,0.078513966,0.231922425,0.360842137,-0.021720804,0.175056829,0.416844617,0.032488972,0.161361865,0.175522794,0.272217148,0.381059209,0.205481501,0.179686397,0.238701807,0.191589108,0.081842561,0.260287712,0.080716212,0.260490992,0.192934957,0.209818284,0.0572184,0.205815671,0.073022386,0.008784708,0.142236816,0.336287192,0.034348593,0.054261531,0.130520055,0.070604038,0.024492622,0.639583863,0.046918604,6.70E-04,0.007662656,0.102573648,0.095453153,0.104658694,0.252226166,0.072786722,0.123075418,0.02065808,0.247353327,0.482696214,0.621218709,0.016195793,0.518254741,0.130475386,0.033434801,0.547599689,0.363785018,0.011886129,0.017744052,0.183172717,0.160854375,0.049631434,0.002503035,0.030251105,0.035269071,0.077053101,0.109614333,0.080455663,0.014502689,0.042992585,0.009231606,0.969902846,0.252450671,0.003482766,0.016651201,0.006706925,0.24224588
0.429997341,0.382881996,0.235071006,0.209707078,0.287500652,0.028123319,0.472510337,0.247264626,0.827758666,0.261354793,0.6736516,1.927587392,0.760611885,0.442267851,0.14934327,5.860382229,1.46175171,4.139020035,2.307914571,0.508660265,0.105310559,0.539764881,0.21844473,2.370618762,0.321342423,0.77765721,0.642664633,1.037992721,1.397538721,1.592934978,1.81884823,1.298466631,1.598949556,0.255967356,0.070757577,0.120427279,0.268210703,0.732162143,0.92375282,0.737003581,0.341372588,1.064110419,0.168943364,0.348842106,0.364522694,-0.008129335,0.328756434,0.223184376,0.243648648,0.204006731,0.214518112,0.22853964,0.358221214,0.084356618,0.292808018,0.272116945,0.232258113,0.13042176,0.195734279,0.10768045,0.275601315,0.19710173,0.216067638,0.078831977,0.092023622,0.064134188,0.003808433,0.07788058,0.42477691,0.06534152,0.112511482,0.146631816,0.104074386,0.023460589,1.01472707,0.147679014,0.00175553,0.0013398,0.148330493,0.082103348,0.12176321,0.219667066,0.025956303,0.101739425,0.055345749,0.38876208,0.709220855,0.406314562,0.011579748,0.516321713,0.150531651,0.019282117,0.47796253,0.31529201,0.012555461,0.014098863,0.199627757,0.151866526,0.041275138,8.71E-04,0.046988075,0.011146171,0.075424256,0.053949031,0.040978929,0.007147835,0.015164297,0.018371466,0.34723912,0.048954671,0.009195348,0.008491444,0.008151348,0.391590555
0.478169461,0.33530891,0.131391768,0.369133855,0.363884019,-0.07666649,0.808217696,0.49702242,0.952339417,0.266672595,0.800978634,1.603505969,0.80355751,0.458457183,0.451889317,1.018411764,0.741207465,0.97974297,0.682415462,0.080684538,0.112720678,0.473505394,0.147297438,1.850037641,0.285286915,0.805929925,0.47364431,1.496993896,0.802150212,0.910707742,0.780874065,0.678290992,0.539082655,0.230126365,0.046556252,0.061631384,0.106993689,0.193345662,0.455835665,0.626474184,0.634223355,1.833071454,0.154555473,0.503337199,0.494071773,1.03E-04,0.377935568,0.413291544,0.022674051,0.271647903,0.224911383,0.259564792,0.362936984,0.180411706,0.265523622,0.324777852,0.232305043,0.146975903,0.20523232,0.083188242,0.391395993,0.256876922,0.285415338,0.089331415,0.183568365,0.127724117,-0.0074386,0.114693259,0.289900676,0.066996518,0.076299139,0.136045598,0.102763297,-0.00125551,1.43317131,0.253067568,0.009038496,0.006027721,0.130827586,0.108398686,0.11721785,0.254657209,0.058241749,0.1237186,0.055771307,0.369579361,0.659257466,0.528429617,-4.53E-04,0.497373033,0.131974923,0.011429055,0.814903851,0.560087675,0.017701986,0.019864981,0.153903536,0.135260362,0.05541736,0.005531762,0.067575685,0.037803926,0.102400683,0.166471183,0.070639172,0.018405692,0.028591958,0.00341415,0.642571736,0.068501817,0.003623308,0.009419839,0.014357603,0.30919645
0.514866427,0.339390034,0.09861542,0.292189943,0.342531434,0.348916144,0.377758833,0.317077686,0.802373684,0.266657686,0.55193191,1.602395771,0.677939558,0.443436937,0.433209421,1.489624576,1.070345218,1.287107894,0.754790018,0.155492476,0.101391366,0.432579622,0.195399176,1.507959355,0.250664913,1.076906973,0.815315416,1.243732894,0.938685624,0.866199195,0.732885895,0.539277259,0.434542119,0.26773393,0.042976351,0.051874241,0.231320885,0.5016436,0.502528773,0.515314728,0.312837866,1.012808809,0.061969529,0.281798749,0.338534503,-0.004351574,0.292015594,0.3460003,0.0246841,0.226127927,0.195150517,0.292452727,0.330765578,0.374915202,0.285263037,0.250075298,0.201232904,0.142076769,0.160466615,0.047040991,0.239075295,0.226922292,0.196161982,0.051249174,0.24288161,0.121278689,-0.00685871,0.170442893,0.30762171,0.050310208,0.09620274,0.168513021,0.102065002,0.017647466,1.571961179,0.278243166,0.004381514,0.014276848,0.176522472,0.030921716,0.124790514,0.225017653,0.066767998,0.123916542,6.27E-04,0.43163269,1.042371325,0.617781479,0.012508729,0.468493725,0.141768435,0.009442782,0.44407907,0.357607771,0.006817463,0.00394342,0.212625105,0.110681917,0.047664013,0.016144315,0.027763461,0.051583963,0.118656156,0.09221023,0.023518113,0.003200332,0.038659399,0.004853792,0.574682207,0.068331949,0.004967882,0.004293069,0.017746626,0.403789722
0.474891217,0.388649932,0.140007722,0.437944787,0.406809771,0.388912265,0.413789544,0.380588194,0.909571021,0.314346951,0.652467531,1.79582728,0.812697214,0.542255675,0.471261321,1.475398175,0.974500466,1.313859711,0.801567964,0.448378546,0.062288311,0.467563897,0.213115868,1.834261348,0.30872791,1.588212038,0.727249125,1.386147998,1.382151972,1.234463926,0.703789352,0.584346229,0.452919713,0.2929599,0.064453877,0.087769312,0.318896765,0.535231627,0.456473369,0.517709569,0.32624268,0.945935229,0.073909309,0.252143504,0.367784377,0.033344188,0.243276264,0.362965618,0.043938942,0.15066805,0.211311347,0.209047097,0.338144433,0.398970426,0.276979443,0.297707797,0.225384788,0.144781057,0.140643815,0.052262246,0.168252518,0.248403513,0.225817791,0.054537718,0.229757609,0.110970347,0.012577731,0.134413336,0.286503336,0.049717191,0.087907802,0.177059813,0.074126533,0.003659207,1.270232842,0.25256525,0.008110088,0.009316583,0.195419242,0.059405758,0.169030658,0.184244118,0.067596127,0.075473143,0.003943368,0.42038362,0.950674439,0.608840541,0.01144556,0.397693581,0.12038346,0.017933043,0.373722786,0.307393158,0.007679228,9.69E-04,0.148594451,0.078666393,0.0606379,0.004944156,0.036308424,0.050810982,0.093971573,0.113287701,0.034068682,0.012905484,0.043985585,0.009625531,0.657293343,0.166658611,0.0028731,-2.37E-04,0.025670061,0.367611743
0.531943948,0.14475457,0.120350892,0.287375518,0.362590229,0.422613929,0.510709419,0.247916503,0.969784991,0.36076309,0.53697216,1.947693585,0.628787339,0.372907472,0.131071439,0.716890128,0.594877717,0.594834772,0.413250112,0.16720831,0.049234054,0.282294721,0.137171963,1.141240765,0.240022005,0.665922724,0.21079518,1.30561532,0.974859345,0.966961505,0.817813606,0.503862325,0.350201626,0.323567127,0.058215601,0.020662748,0.137022688,0.31835926,0.31675772,0.44732282,0.432446903,1.252190482,0.066421393,0.296352944,0.479842786,0.041248093,0.283899225,0.389396964,0.06662556,0.225461242,0.196904527,0.324448698,0.322295714,0.393610455,0.234728855,0.216308166,0.147785526,0.148929202,0.208725611,0.035964494,0.258100457,0.187149764,0.171484901,0.025154249,0.29093681,0.122693978,0.012778212,0.115708373,0.257142515,0.047943053,0.057288804,0.128764584,0.112496488,0.008900739,1.676367579,0.272608961,0.013268371,0.004820531,0.16789979,0.044075441,0.097128158,0.218367339,0.062037237,0.097833757,0.0045629,0.488597875,0.950552379,0.682499975,-0.002352076,0.37184775,0.115182852,0.0084641,0.570649917,0.422615183,0.012258916,0.00479551,0.256853433,0.203566708,0.069829138,0.004231455,0.037918207,0.056296158,0.09084485,0.109953661,0.042388779,0.006745996,0.06214895,0.018267891,0.804071301,0.071523778,0.006293087,9.84E-04,0.015100072,0.321425865
0.509671665,0.152769747,0.421730695,0.149996248,0.242545521,0.137122296,0.337291498,0.071960992,0.977269298,0.229739058,0.329397663,1.110280649,0.562169119,0.261342065,0.04027227,0.773456125,1.49364211,0.603100727,0.337451978,0.071077299,0.02906384,0.267563826,0.431586075,0.979273439,0.123861276,0.52227409,0.256223498,1.467040457,1.455295024,1.366874677,1.200981475,1.241502085,1.108232638,0.459252351,0.400210933,0.048879826,0.111742036,0.206796496,0.23866775,0.252800052,0.132294307,0.303409322,0.023511961,0.068328366,1.10417854,0.292723431,0.04907321,0.355047633,0.070491306,0.097265475,0.265053718,0.257710306,0.290655475,0.276958312,0.189455649,0.138065775,0.147959467,0.214283887,0.141800475,0.081137585,0.053127619,0.154081748,0.119135177,0.005628921,0.182460276,0.031180415,0.061091177,0.128331913,0.165524211,0.049558121,0.050489469,0.160863001,0.316212362,0.158649664,4.44041322,0.740234828,0.139485773,0.016080199,0.193874015,0.047770881,0.073401145,0.90900247,0.184763533,0.57471869,0.178399225,0.226445526,0.464832747,0.431596091,0.00970509,0.129113675,0.025677219,0.014010478,0.125133482,0.081032836,0.00156226,0.017928994,0.171086003,0.075052807,0.043375786,0.012362795,0.022936519,0.03875791,0.041477707,0.132236979,0.027385792,0.021443343,0.081861119,0.010943165,0.514896991,0.031491198,0.002761106,9.73E-04,0.008195944,0.214071568
0.333405109,0.146887834,0.367918303,0.166666174,0.170546512,0.140591793,0.124448098,0.347208532,0.883109716,0.177256969,0.284913449,1.339605671,0.57688157,0.254030314,9.05E-04,1.382064706,1.634124349,0.73241594,0.44028891,-0.016968468,-6.13E-04,0.25866974,0.463918417,0.975208335,0.091387674,0.537942531,0.220566758,1.435034403,2.683162959,2.0510697,1.414552071,2.139647938,1.716492058,0.866607586,0.663527138,0.263543282,0.3432902,0.646650328,0.468370655,0.329432381,0.188174139,0.281722182,-0.009932845,0.074997346,1.440558477,0.363149283,0.078650097,0.320487927,0.117298648,0.074914211,0.252259318,0.247787838,0.28747253,0.289292813,0.253639734,0.155323878,0.026348747,0.238628486,0.063248973,0.093170139,0.082287553,0.14742181,0.021461546,0.153741273,0.132621761,0.170217846,0.008080866,0.052341605,0.180060879,0.051821794,0.038288021,0.173613541,0.390666818,0.181952231,5.275729598,0.804462695,0.132178425,-0.001521313,0.243753419,0.06259758,0.074178592,0.86824933,0.173210776,0.498333179,0.153699023,0.281260092,0.588557718,0.347367681,0.006294503,0.168726254,0.042036967,0.008331674,0.113899435,0.076160879,0.012977038,0.00746394,0.163377047,0.067885897,0.04894031,0.010347265,0.024522446,0.044211989,0.041166878,0.10881799,0.023802728,0.016255784,0.071306625,0.009061951,0.430316669,0.095555548,0.003176121,0.007012592,0.014242657,0.207583062
0.406768828,0.13321182,0.306467481,0.218782154,0.233610825,0.064012436,0.273795032,0.19784561,0.968018535,0.193931818,0.309436193,1.114781324,0.561913341,0.244254683,0.01558606,1.965143223,1.895814185,0.920666518,0.402428729,0.069521438,0.054477352,0.257407914,0.430970138,0.954566775,0.106146185,0.551375417,0.170305756,1.528039521,2.840550261,1.4849373,0.759135619,1.990864358,1.349921426,0.700689373,0.614498401,0.198342404,0.296237242,0.394958678,0.135121953,0.341015275,0.150154569,0.287530116,0.027262803,0.053714205,1.268079838,0.31669174,0.049528303,0.329109246,0.106723006,0.061507649,0.260844204,0.187200621,0.29269277,0.309227526,0.203716614,0.159900358,0.12895207,0.22573711,0.112499812,0.089845215,0.047139918,0.140917316,0.113917642,0.014336133,0.130077686,0.054203349,0.031466346,0.095019928,0.130084526,0.064530616,0.054729204,0.163904227,0.271877591,0.179615612,5.491061503,0.84323488,0.132133421,0.026881097,0.199209702,0.055902863,0.067830987,0.763018712,0.135655423,0.500578902,0.133822106,0.242597102,0.494907429,0.442063428,0.005081474,0.140463511,0.038196439,0.005635228,0.103188168,0.088714217,0.003087576,0.011005414,0.159841906,0.076297502,0.048188323,0.00894881,0.025157399,0.047702297,0.035570643,0.107823043,0.020579294,0.015553854,0.074602981,0.009997053,0.481171486,0.026764388,0.004218162,0.003424228,0.011834958,0.241234905
0.557103093,0.122313754,0.492258419,0.087059269,0.250274705,0.125337965,0.245928072,0.131745559,1.106571689,0.23008851,0.316800951,1.016169859,0.655275499,0.305090806,0.076676779,1.925133516,1.4966355,0.766998791,0.43595293,0.098794991,0.056302601,0.335500462,0.49585322,0.936457834,0.112128343,0.631320899,0.455840249,2.555014606,2.168623762,2.267815992,1.842392136,1.766599123,1.933278506,0.590484634,0.631167672,0.221699051,0.084817716,0.389502195,0.283389725,0.216725288,0.129131897,0.116595228,0.021589473,0.04818212,0.88715926,0.336539937,0.032876598,0.428458888,0.146899066,0.08302222,0.213273875,0.198072639,0.246627258,0.218107416,0.169813529,0.160993904,0.024535739,0.152262099,0.161024493,0.090111609,0.031899673,0.14085462,-0.003571688,0.341958214,0.16400411,0.039274651,0.082060043,0.112571791,0.188139392,0.066201773,0.068718906,0.165067438,0.246401137,0.152336454,3.350160254,0.669234636,0.139801497,0.01643395,0.152711097,0.037712483,0.038532806,0.668739502,0.108420058,0.455607607,0.098257704,0.144566376,0.40647881,0.369748161,0.018628031,0.072225543,0.011046258,0.028324834,0.052217606,0.018710523,0.003773128,0.014843406,0.085442896,0.016928054,0.053096668,0.028001892,0.054747465,0.038176181,0.063673967,0.113234023,0.022701134,0.055177551,0.172939415,0.019905609,0.409353582,0.018856312,0.004862838,0.003699782,0.022877953,0.221652013
