Molecule,Time,adj.Time,Group,adj.Group,Group_Time,adj.Group_Time
X1,0.017,0.026,0.082,0.19,0.8,0.93
X2,0.0031,0.0056,0.56,0.76,0.22,0.63
X3,5.80E-07,2.10E-06,0.015,0.054,0.64,0.87
X4,4.20E-07,1.50E-06,0.78,0.91,0.24,0.63
X5,0.025,0.037,0.054,0.13,0.13,0.63
X7,0.038,0.054,0.57,0.76,0.88,0.97
X8,5.50E-11,2.70E-10,0.44,0.66,0.56,0.85
X9,0,0,0.98,0.99,0.013,0.17
X10,8.70E-06,2.80E-05,0.0076,0.033,0.44,0.81
X11,1.70E-12,9.20E-12,0.76,0.89,0.083,0.61
X13,0.35,0.4,0.84,0.95,0.65,0.87
X14,1.00E-05,3.10E-05,0.71,0.86,0.42,0.81
X16,0.23,0.28,0.47,0.69,0.55,0.85
X17,0,0,0.0041,0.021,0.16,0.63
X18,0.14,0.18,0.044,0.11,0.44,0.81
X19,8.90E-05,0.00024,0.85,0.95,0.23,0.63
X20,0.00012,3.00E-04,0.43,0.65,0.97,0.98
X21,0,0,0.00082,0.0088,0.56,0.85
X22,2.30E-05,7.00E-05,0.87,0.95,0.64,0.87
X23,1.10E-10,5.00E-10,0.98,0.99,0.45,0.81
X24,6.30E-05,0.00017,0.042,0.11,0.51,0.83
X25,0,0,0.87,0.95,0.21,0.63
X26,0,0,0.24,0.41,0.55,0.85
X27,2.20E-06,7.70E-06,0.0018,0.012,0.39,0.8
X29,0.0017,0.0035,0.04,0.11,0.0098,0.17
X30,0.0024,0.0046,0.49,0.71,0.25,0.65
X31,0,0,0.0067,0.03,0.99,0.99
X32,2.00E-11,1.00E-10,0.0012,0.01,0.031,0.27
X33,4.20E-10,1.80E-09,4.80E-05,0.00096,0.14,0.63
X34,0.00014,0.00034,0.033,0.1,0.52,0.84
X35,0.56,0.63,0.013,0.049,0.94,0.97
X37,0,0,0.82,0.93,0.24,0.63
X38,0.021,0.032,0.0049,0.023,0.47,0.81
X39,2.90E-05,8.60E-05,0.5,0.71,0.51,0.83
X40,0.0025,0.0047,0.0028,0.016,0.59,0.85
X41,0.55,0.62,0.044,0.11,0.0044,0.12
X42,0.00054,0.0012,0.32,0.52,0.35,0.78
X43,4.70E-05,0.00013,0.37,0.59,0.85,0.97
X44,0.21,0.26,0.044,0.11,0.36,0.78
X45,4.30E-13,2.50E-12,0.52,0.72,0.63,0.87
X46,1.10E-16,8.60E-16,0.2,0.36,0.016,0.18
X47,0.0022,0.0043,0.99,0.99,0.17,0.63
X48,0,0,0.11,0.23,0.012,0.17
X50,0.0054,0.0092,0.0091,0.037,0.71,0.9
X51,0.083,0.11,0.97,0.99,0.73,0.9
X53,0.00045,0.001,0.39,0.61,0.61,0.85
X54,7.50E-06,2.40E-05,0.001,0.0093,0.004,0.12
X55,1.30E-14,8.70E-14,0.59,0.77,0.2,0.63
X57,0.58,0.64,0.0034,0.018,0.23,0.63
X59,0.00012,3.00E-04,2.80E-05,0.00084,0.24,0.63
X60,0.0065,0.011,0.51,0.71,0.28,0.7
X62,5.10E-06,1.70E-05,0.94,0.99,0.0095,0.17
X64,0.0016,0.0033,0.00061,0.0078,0.7,0.9
X68,0.00025,0.00059,0.049,0.12,0.94,0.97
X69,0.85,0.87,6.10E-12,8.50E-10,0.3,0.74
X70,1.40E-12,7.80E-12,4.80E-05,0.00096,0.02,0.2
X71,0.00013,0.00032,0.18,0.34,0.94,0.97
X74,0.13,0.17,0.93,0.99,0.7,0.9
X75,0.00068,0.0015,0.41,0.63,0.53,0.84
X76,0,0,0.3,0.49,0.0099,0.17
X77,0.0056,0.0094,0.044,0.11,0.6,0.85
X78,3.00E-04,0.00069,0.73,0.87,0.73,0.9
X79,0.24,0.29,0.94,0.99,0.21,0.63
X82,0.017,0.026,0.73,0.87,0.59,0.85
X83,3.90E-05,0.00011,0.019,0.066,0.36,0.78
X84,3.20E-05,9.10E-05,0.0086,0.036,0.017,0.18
X85,2.60E-06,8.90E-06,0.93,0.99,0.42,0.81
X86,0,0,0.54,0.74,0.19,0.63
X87,2.20E-16,1.60E-15,0.81,0.93,0.35,0.78
X88,0.00011,0.00029,0.0032,0.018,0.97,0.98
X89,0.0021,0.0042,0.69,0.84,0.88,0.97
X90,0,0,0.6,0.78,0.75,0.91
X92,0,0,0.11,0.23,0.22,0.63
X93,0.66,0.71,0.079,0.18,0.42,0.81
X94,0.69,0.74,0.23,0.41,0.34,0.78
X95,0.91,0.92,0.24,0.41,0.49,0.83
X96,0,0,0.28,0.47,0.89,0.97
X97,1.00E-13,6.40E-13,0.98,0.99,0.11,0.63
X100,1.70E-08,6.80E-08,3.00E-05,0.00084,0.31,0.75
X101,0,0,0.16,0.32,0.12,0.63
X102,0.33,0.38,1.00E-07,7.00E-06,0.35,0.78
X103,0,0,0.61,0.78,0.83,0.95
X104,0,0,0.18,0.34,0.65,0.87
X105,0.82,0.84,0.38,0.6,0.43,0.81
X106,0.27,0.32,0.0026,0.016,0.15,0.63
X107,0.0023,0.0045,0.00029,0.0045,0.74,0.91
X108,7.00E-15,4.90E-14,0.2,0.36,0.96,0.98
X109,0.78,0.81,0.027,0.09,0.92,0.97
X110,0.00082,0.0017,0.013,0.049,0.9,0.97
X111,0.21,0.26,0.25,0.42,0.17,0.63
X112,0.61,0.67,0.14,0.28,0.094,0.62
X113,0.0057,0.0095,0.022,0.075,0.21,0.63
X114,0.0031,0.0056,0.0015,0.012,0.21,0.63
X116,0.0019,0.0039,0.00095,0.0093,0.61,0.85
X117,4.50E-08,1.80E-07,0.24,0.41,0.47,0.81
X118,0.0045,0.0081,0.58,0.77,0.16,0.63
X119,0.049,0.069,0.66,0.81,0.22,0.63
X120,2.20E-09,9.30E-09,0.054,0.13,0.082,0.61
X121,5.00E-11,2.50E-10,0.15,0.3,0.13,0.63
